proteinA	proteinB	score	score_coexp	score_exp	score_db	score_textmine
SIRT1	CCNA2	0.4	0.045	0.074	0.0	0.376
SIRT1	SP1	0.404	0.05	0.074	0.0	0.377
SIRT1	RPA1	0.412	0.317	0.089	0.0	0.13
SIRT1	TP73	0.415	0.294	0.0	0.0	0.204
SIRT1	CHEK1	0.443	0.092	0.049	0.0	0.406
SIRT1	CASP8	0.447	0.0	0.0	0.0	0.447
SIRT1	TCHP	0.489	0.0	0.062	0.0	0.478
SIRT1	ATR	0.491	0.095	0.129	0.0	0.406
SIRT1	CDK4	0.493	0.069	0.0	0.0	0.478
SIRT1	RCHY1	0.506	0.0	0.092	0.0	0.479
SIRT1	NPM1	0.516	0.369	0.049	0.0	0.258
SIRT1	UBE2I	0.517	0.292	0.0	0.0	0.346
SIRT1	BBC3	0.527	0.0	0.0	0.0	0.527
SIRT1	BCL2L11	0.527	0.0	0.128	0.0	0.48
SIRT1	HTT	0.54	0.052	0.105	0.0	0.502
SIRT1	BCL2L1	0.548	0.0	0.051	0.0	0.544
SIRT1	HIPK2	0.55	0.314	0.0	0.0	0.372
SIRT1	CDKN1B	0.554	0.0	0.224	0.0	0.449
SIRT1	CASP9	0.559	0.0	0.06	0.0	0.55
SIRT1	TP53BP1	0.565	0.291	0.0	0.0	0.412
SIRT1	USP7	0.565	0.292	0.105	0.0	0.369
SIRT1	SMAD4	0.569	0.0	0.164	0.0	0.505
SIRT1	GADD45A	0.575	0.0	0.0	0.0	0.575
SIRT1	MCL1	0.589	0.292	0.071	0.0	0.424
SIRT1	CCNB1	0.592	0.394	0.0	0.0	0.355
SIRT1	CDKN2A	0.616	0.093	0.0	0.0	0.594
SIRT1	CDK2	0.621	0.312	0.0	0.0	0.472
SIRT1	NBN	0.626	0.292	0.06	0.0	0.484
SIRT1	RAD51	0.634	0.052	0.0	0.0	0.63
SIRT1	CDK1	0.654	0.404	0.044	0.0	0.441
SIRT1	H2BC3	0.654	0.128	0.0	0.5	0.271
SIRT1	H2BC12	0.654	0.128	0.0	0.5	0.271
SIRT1	H2BC11	0.654	0.128	0.0	0.5	0.271
SIRT1	H2BC13	0.655	0.128	0.0	0.5	0.273
SIRT1	HMGB1	0.66	0.306	0.083	0.0	0.509
SIRT1	HSPA4	0.672	0.316	0.056	0.0	0.532
SIRT1	MDM2	0.699	0.292	0.0	0.0	0.592
SIRT1	CDKN1A	0.719	0.0	0.0	0.0	0.719
SIRT1	CCND1	0.721	0.0	0.0	0.0	0.721
SIRT1	CASP3	0.725	0.0	0.056	0.0	0.721
SIRT1	MAPK8	0.727	0.317	0.248	0.0	0.512
SIRT1	AR	0.728	0.3	0.0	0.0	0.628
SIRT1	ESR1	0.733	0.31	0.0	0.0	0.629
SIRT1	BCL2	0.744	0.0	0.058	0.0	0.739
SIRT1	TBP	0.745	0.0	0.074	0.4	0.578
SIRT1	CREBBP	0.754	0.101	0.088	0.0	0.724
SIRT1	PTEN	0.757	0.103	0.191	0.0	0.692
SIRT1	PML	0.777	0.297	0.0	0.0	0.696
SIRT1	BRCA1	0.777	0.292	0.0	0.0	0.699
SIRT1	CREB1	0.781	0.292	0.137	0.0	0.67
SIRT1	CHEK2	0.784	0.387	0.0	0.0	0.662
SIRT1	HSP90AA1	0.803	0.394	0.047	0.0	0.686
SIRT1	NDN	0.812	0.317	0.0	0.0	0.736
SIRT1	RB1	0.821	0.51	0.049	0.54	0.264
SIRT1	H2AX	0.831	0.071	0.081	0.5	0.652
SIRT1	BRD4	0.833	0.526	0.0	0.0	0.663
SIRT1	H3-4	0.836	0.146	0.0	0.0	0.816
SIRT1	PARP1	0.844	0.51	0.055	0.0	0.691
SIRT1	ATM	0.856	0.0	0.049	0.0	0.855
SIRT1	H2BC21	0.859	0.128	0.043	0.5	0.703
SIRT1	MYC	0.86	0.625	0.066	0.0	0.633
SIRT1	HDAC2	0.898	0.372	0.074	0.0	0.839
SIRT1	H4C6	0.906	0.277	0.067	0.5	0.755
SIRT1	XRCC6	0.916	0.535	0.0	0.0	0.827
SIRT1	H3C12	0.92	0.146	0.0	0.5	0.829
SIRT1	H3-3B	0.922	0.146	0.059	0.5	0.829
SIRT1	DNMT1	0.922	0.597	0.047	0.0	0.815
SIRT1	E2F1	0.924	0.625	0.0	0.0	0.806
SIRT1	HIF1A	0.927	0.51	0.083	0.0	0.851
SIRT1	JUN	0.927	0.71	0.044	0.0	0.758
SIRT1	FOXO4	0.932	0.396	0.049	0.0	0.891
SIRT1	KAT5	0.934	0.665	0.077	0.0	0.805
SIRT1	EZH2	0.942	0.646	0.049	0.36	0.766
SIRT1	KAT2B	0.96	0.424	0.075	0.0	0.932
SIRT1	EP300	0.972	0.698	0.138	0.0	0.902
SIRT1	HDAC1	0.993	0.528	0.0	0.0	0.987
SIRT1	RELA	0.995	0.646	0.049	0.9	0.89
SIRT1	FOXO3	0.999	0.774	0.06	0.9	0.964
SIRT1	TP53	0.999	0.886	0.0	0.9	0.99
MAPK1	H3-4	0.405	0.078	0.0	0.0	0.381
MAPK1	GADD45A	0.407	0.292	0.042	0.0	0.196
MAPK1	H3C12	0.407	0.078	0.042	0.0	0.382
MAPK1	CCNA2	0.408	0.0	0.063	0.0	0.393
MAPK1	UBE3A	0.413	0.292	0.095	0.0	0.158
MAPK1	H3-3B	0.414	0.078	0.044	0.0	0.388
MAPK1	CCNB1	0.439	0.094	0.056	0.0	0.396
MAPK1	BRD4	0.465	0.33	0.05	0.0	0.226
MAPK1	BRCA1	0.516	0.292	0.049	0.0	0.34
MAPK1	NPM1	0.518	0.0	0.045	0.4	0.225
MAPK1	AR	0.527	0.292	0.0	0.0	0.36
MAPK1	HDAC1	0.534	0.071	0.072	0.0	0.503
MAPK1	CDC25C	0.563	0.418	0.0	0.0	0.279
MAPK1	PML	0.583	0.51	0.092	0.0	0.138
MAPK1	CCNL2	0.597	0.0	0.0	0.0	0.597
MAPK1	PARP1	0.609	0.292	0.095	0.0	0.438
MAPK1	ATM	0.622	0.3	0.123	0.0	0.434
MAPK1	MDM2	0.635	0.05	0.049	0.0	0.629
MAPK1	PGR	0.662	0.292	0.049	0.0	0.538
MAPK1	CHEK2	0.663	0.612	0.056	0.0	0.154
MAPK1	BCL2L1	0.672	0.0	0.107	0.0	0.648
MAPK1	PTEN	0.677	0.216	0.061	0.0	0.597
MAPK1	CCND1	0.683	0.292	0.06	0.0	0.562
MAPK1	HSPA4	0.685	0.1	0.126	0.0	0.631
MAPK1	CDK1	0.693	0.131	0.042	0.0	0.649
MAPK1	RELA	0.717	0.189	0.049	0.0	0.662
MAPK1	ABL1	0.724	0.11	0.064	0.0	0.695
MAPK1	CDKN1A	0.732	0.0	0.0	0.0	0.732
MAPK1	MCL1	0.74	0.292	0.115	0.0	0.618
MAPK1	MAPK8	0.747	0.0	0.079	0.4	0.568
MAPK1	HMGB1	0.792	0.258	0.093	0.5	0.456
MAPK1	CREBBP	0.803	0.51	0.082	0.0	0.598
MAPK1	SMAD4	0.816	0.0	0.141	0.4	0.672
MAPK1	EP300	0.818	0.51	0.082	0.0	0.629
MAPK1	CASP8	0.839	0.294	0.123	0.0	0.761
MAPK1	CASP9	0.841	0.294	0.076	0.4	0.642
MAPK1	CDKN2A	0.846	0.35	0.049	0.0	0.771
MAPK1	CDKN1B	0.858	0.0	0.082	0.75	0.433
MAPK1	FOXO4	0.922	0.057	0.049	0.9	0.238
MAPK1	HSP90AA1	0.941	0.113	0.057	0.4	0.897
MAPK1	BCL2L11	0.953	0.292	0.085	0.9	0.373
MAPK1	CASP3	0.961	0.045	0.1	0.9	0.599
MAPK1	CREB1	0.962	0.0	0.194	0.9	0.575
MAPK1	FOXO3	0.963	0.303	0.147	0.9	0.461
MAPK1	SP1	0.969	0.539	0.179	0.9	0.286
MAPK1	BCL2	0.969	0.292	0.086	0.9	0.586
MAPK1	MYC	0.983	0.643	0.0	0.9	0.582
MAPK1	HIF1A	0.985	0.626	0.049	0.9	0.648
MAPK1	ESR1	0.987	0.625	0.0	0.9	0.681
MAPK1	TP53	0.998	0.806	0.045	0.9	0.912
MAPK1	JUN	0.998	0.771	0.0	0.9	0.958
AURKA	JUN	0.4	0.131	0.0	0.0	0.338
AURKA	CCNG1	0.42	0.091	0.21	0.0	0.257
AURKA	USP7	0.425	0.292	0.0	0.0	0.222
AURKA	H4C6	0.427	0.331	0.049	0.0	0.171
AURKA	DNMT1	0.433	0.0	0.218	0.0	0.305
AURKA	TP73	0.438	0.292	0.067	0.0	0.218
AURKA	CASP3	0.44	0.0	0.097	0.0	0.404
AURKA	HIF1A	0.453	0.193	0.044	0.0	0.348
AURKA	PPP1R13L	0.456	0.0	0.0	0.0	0.456
AURKA	BCL2L11	0.462	0.292	0.0	0.0	0.271
